Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
Gm38717	Gm38717	chr1	-	4115673	4243365	0.152280	0.008466	0.022159
Rp1	Rp1	chr1	-	4290846	4409266	0.049871	0.003904	0.010219
Xkr4	Xkr4	chr1	-	3199733	3672278	0.000000	0.000000	0.000000
Gm39585	Gm39585	chr1	+	3361552	3377812	0.135667	0.006880	0.018008
Gm29874	Gm29874	chr1	+	4608937	4617805	0.000000	0.000000	0.000000
LOC108167609	LOC108167609	chr1	-	4583127	4608781	0.000000	0.000000	0.000000
Gm39586	Gm39586	chr1	+	4595057	4602832	0.114460	0.006639	0.017377
LOC108167610	LOC108167610	chr1	-	4603255	4606521	0.000000	0.000000	0.000000
Sox17	Sox17	chr1	-	4490928	4497386	62.309315	4.742780	12.414261
Mrpl15	Mrpl15	chr1	-	4773198	4785749	65.297050	6.348381	16.616932
Rgs20	Rgs20	chr1	-	4909573	5070308	1.656826	0.175037	0.458160
Gm16041	Gm16041	chr1	+	4968430	4977005	0.000000	0.000000	0.000000
Lypla1	Lypla1	chr1	+	4807560	4846739	546.028503	31.588135	82.682167
Gm39587	Gm39587	chr1	+	4846846	4848409	0.000000	0.000000	0.000000
Tcea1	Tcea1	chr1	+	4857694	4897909	131.747910	29.564360	77.384926
Atp6v1h	Atp6v1h	chr1	+	5082978	5163213	103.341148	23.106779	60.482166
St18	St18	chr1	+	6487231	6860940	0.487650	0.082862	0.216893
4732440D04Rik	4732440D04Rik	chr1	-	6209863	6216612	4.201067	0.213040	0.557635
Rb1cc1	Rb1cc1	chr1	+	6214662	6276374	145.323410	7.875544	20.614294
Gm26901	Gm26901	chr1	-	7314638	7398666	0.192675	0.010258	0.026851
Pcmtd1	Pcmtd1	chr1	+	7088892	7173628	201.911514	11.084553	29.013897
Sntg1	Sntg1	chr1	-	8359739	9301066	0.000000	0.000000	0.000000
Mybl1	Mybl1	chr1	-	9667407	9700439	0.129214	0.007777	0.020356
Rrs1	Rrs1	chr1	+	9545408	9547455	228.535156	11.589248	30.334940
Adhfe1	Adhfe1	chr1	+	9547935	9577968	9.981426	0.724067	1.895250
2610203C22Rik	2610203C22Rik	chr1	-	9560832	9631092	358.616089	18.185783	47.601418
3110035E14Rik	3110035E14Rik	chr1	+	9601267	9627142	5.898651	0.299127	0.782966
Gm39590	Gm39590	chr1	+	9775558	9791319	0.000000	0.000000	0.000000
Vcpip1	Vcpip1	chr1	-	9718622	9748382	142.844757	7.243801	18.960701
1700034P13Rik	1700034P13Rik	chr1	+	9747648	9771256	2.891205	0.146616	0.383768
Tcf24	Tcf24	chr1	-	9960163	9968207	8.116713	0.417807	1.093613
Mcmdc2	Mcmdc2	chr1	+	9906157	9942166	0.199926	0.010696	0.027997
