Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
Xkr4	Xkr4	chr1	-	3199733	3672278	0.004449	0.001674	0.004295
Gm39585	Gm39585	chr1	+	3361552	3377812	0.149463	0.006554	0.016814
Sox17	Sox17	chr1	-	4490928	4497386	66.201897	4.508675	11.566706
Mrpl15	Mrpl15	chr1	-	4773198	4785749	79.784203	6.671228	17.114594
Rgs20	Rgs20	chr1	-	4909573	5070308	3.212893	0.293572	0.753139
Gm16041	Gm16041	chr1	+	4968430	4977005	0.000000	0.000000	0.000000
Lypla1	Lypla1	chr1	+	4807560	4846739	744.757019	37.357437	95.838020
Gm39587	Gm39587	chr1	+	4846846	4848409	2.487013	0.109054	0.279771
Tcea1	Tcea1	chr1	+	4857694	4897909	151.029205	29.332806	75.251366
Fam150a	Fam150a	chr1	+	6359331	6394731	0.000000	0.000000	0.000000
LOC108167611	LOC108167611	chr1	-	6377512	6382119	0.000000	0.000000	0.000000
Atp6v1h	Atp6v1h	chr1	+	5082978	5163213	178.730652	36.935558	94.755714
St18	St18	chr1	+	6487231	6860940	0.791980	0.115070	0.295205
LOC108167788	LOC108167788	chr1	-	6164706	6167315	4.574438	0.200587	0.514591
4732440D04Rik	4732440D04Rik	chr1	-	6209863	6216612	5.384085	0.236089	0.605671
Rb1cc1	Rb1cc1	chr1	+	6214662	6276374	129.057358	6.080202	15.598355
Gm26901	Gm26901	chr1	-	7314638	7398666	0.212596	0.009787	0.025109
Pcmtd1	Pcmtd1	chr1	+	7088892	7173628	285.471222	13.829715	35.479218
Sntg1	Sntg1	chr1	-	8359739	9301066	0.000000	0.000000	0.000000
Rrs1	Rrs1	chr1	+	9545408	9547455	215.266113	9.439299	24.215891
Mybl1	Mybl1	chr1	-	9667407	9700439	0.223506	0.011632	0.029840
Adhfe1	Adhfe1	chr1	+	9547935	9577968	44.741570	2.157360	5.534563
2610203C22Rik	2610203C22Rik	chr1	-	9560832	9631092	323.695526	14.193868	36.413422
3110035E14Rik	3110035E14Rik	chr1	+	9601267	9627142	3.624098	0.158915	0.407685
Gm39590	Gm39590	chr1	+	9775558	9791319	0.034068	0.006778	0.017389
Vcpip1	Vcpip1	chr1	-	9718622	9748382	168.530075	7.389949	18.958424
1700034P13Rik	1700034P13Rik	chr1	+	9747648	9771256	2.796031	0.122604	0.314533
Tcf24	Tcf24	chr1	-	9960163	9968207	0.387955	0.017012	0.043642
Mcmdc2	Mcmdc2	chr1	+	9906157	9942166	0.360368	0.016671	0.042768
