Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
Xkr4	Xkr4	chr1	-	3199733	3672278	0.000000	0.000000	0.000000
Gm39585	Gm39585	chr1	+	3361552	3377812	0.703154	0.036849	0.091876
Gm38717	Gm38717	chr1	-	4115673	4243365	0.584621	0.035303	0.088020
Rp1	Rp1	chr1	-	4290846	4409266	0.153236	0.012397	0.030908
Sox17	Sox17	chr1	-	4490928	4497386	70.983521	5.816460	14.502093
Mrpl15	Mrpl15	chr1	-	4773198	4785749	59.907364	6.055401	15.097841
Lypla1	Lypla1	chr1	+	4807560	4846739	550.029297	32.950275	82.154434
Gm39587	Gm39587	chr1	+	4846846	4848409	4.769481	0.249949	0.623195
Tcea1	Tcea1	chr1	+	4857694	4897909	129.462463	30.025864	74.863037
Rgs20	Rgs20	chr1	-	4909573	5070308	1.354821	0.147432	0.367591
Gm16041	Gm16041	chr1	+	4968430	4977005	0.000000	0.000000	0.000000
Atp6v1h	Atp6v1h	chr1	+	5082978	5163213	101.753807	24.194483	60.323746
St18	St18	chr1	+	6487231	6860940	1.591482	0.282185	0.703569
4732440D04Rik	4732440D04Rik	chr1	-	6209863	6216612	7.681660	0.402565	1.003710
Rb1cc1	Rb1cc1	chr1	+	6214662	6276374	154.941635	8.670074	21.616966
Gm26901	Gm26901	chr1	-	7314638	7398666	0.119112	0.006554	0.016340
Pcmtd1	Pcmtd1	chr1	+	7088892	7173628	221.030746	12.609483	31.439037
Sntg1	Sntg1	chr1	-	8359739	9301066	0.243314	0.018471	0.046055
Rrs1	Rrs1	chr1	+	9545408	9547455	206.624512	10.828365	26.998205
Mybl1	Mybl1	chr1	-	9667407	9700439	0.146810	0.009131	0.022767
Adhfe1	Adhfe1	chr1	+	9547935	9577968	13.069551	0.760329	1.895718
2610203C22Rik	2610203C22Rik	chr1	-	9560832	9631092	380.689941	19.950441	49.742138
3110035E14Rik	3110035E14Rik	chr1	+	9601267	9627142	10.196736	0.534370	1.332337
Vcpip1	Vcpip1	chr1	-	9718622	9748382	159.292953	8.347908	20.813717
1700034P13Rik	1700034P13Rik	chr1	+	9747648	9771256	4.305183	0.225617	0.562529
Tcf24	Tcf24	chr1	-	9960163	9968207	0.474556	0.024870	0.062007
