Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
Rp1	Rp1	chr1	-	4290846	4409266	0.174547	0.025640	0.064031
Xkr4	Xkr4	chr1	-	3199733	3672278	0.000000	0.000000	0.000000
Gm39585	Gm39585	chr1	+	3361552	3377812	0.373865	0.014438	0.036057
LOC108167609	LOC108167609	chr1	-	4583127	4608781	0.000000	0.000000	0.000000
Gm39586	Gm39586	chr1	+	4595057	4602832	0.000000	0.000000	0.000000
LOC108167610	LOC108167610	chr1	-	4603255	4606521	1.671180	0.064539	0.161173
Sox17	Sox17	chr1	-	4490928	4497386	103.701622	6.354872	15.870062
Mrpl15	Mrpl15	chr1	-	4773198	4785749	83.239891	5.908396	14.755073
Lypla1	Lypla1	chr1	+	4807560	4846739	733.367493	32.402519	80.919014
Gm39587	Gm39587	chr1	+	4846846	4848409	1.500000	0.057928	0.144664
Rgs20	Rgs20	chr1	-	4909573	5070308	1.910618	0.153215	0.382624
Gm16041	Gm16041	chr1	+	4968430	4977005	0.000000	0.000000	0.000000
Tcea1	Tcea1	chr1	+	4857694	4897909	183.513611	31.360092	78.315750
Atp6v1h	Atp6v1h	chr1	+	5082978	5163213	143.456894	25.815180	64.468407
Fam150a	Fam150a	chr1	+	6359331	6394731	0.000000	0.000000	0.000000
LOC108167611	LOC108167611	chr1	-	6377512	6382119	0.000000	0.000000	0.000000
St18	St18	chr1	+	6487231	6860940	0.024090	0.003104	0.007751
4732440D04Rik	4732440D04Rik	chr1	-	6209863	6216612	3.289005	0.127017	0.317200
Rb1cc1	Rb1cc1	chr1	+	6214662	6276374	129.760269	5.359058	13.383209
Gm26901	Gm26901	chr1	-	7314638	7398666	0.255032	0.018501	0.046202
Pcmtd1	Pcmtd1	chr1	+	7088892	7173628	289.892975	12.247234	30.585093
Mybl1	Mybl1	chr1	-	9667407	9700439	0.260846	0.011956	0.029857
Rrs1	Rrs1	chr1	+	9545408	9547455	262.534668	10.138738	25.319534
Adhfe1	Adhfe1	chr1	+	9547935	9577968	13.234270	0.568465	1.419630
2610203C22Rik	2610203C22Rik	chr1	-	9560832	9631092	529.979248	20.467091	51.112595
3110035E14Rik	3110035E14Rik	chr1	+	9601267	9627142	13.328835	0.514742	1.285468
Vcpip1	Vcpip1	chr1	-	9718622	9748382	180.600449	6.974548	17.417582
1700034P13Rik	1700034P13Rik	chr1	+	9747648	9771256	2.431909	0.093917	0.234540
Mcmdc2	Mcmdc2	chr1	+	9906157	9942166	0.497236	0.024444	0.061045
Snhg6	Snhg6	chr1	-	9942025	9944118	75.324364	2.908926	7.264479
Snord87	Snord87	chr1	-	9942470	9942543	6.459459	0.249456	0.622967
Tcf24	Tcf24	chr1	-	9960163	9968207	0.835201	0.032254	0.080549
Ppp1r42	Ppp1r42	chr1	-	9968622	10013541	0.069707	0.010902	0.027226
Sgk3	Sgk3	chr1	+	9798130	9902570	82.917465	13.047025	32.582417
Cops5	Cops5	chr1	-	10024600	10038159	381.792267	14.859521	37.108772
Cspp1	Cspp1	chr1	+	10038118	10136771	19.852432	2.271231	5.671960
Arfgef1	Arfgef1	chr1	-	10137507	10232670	50.033939	1.932244	4.825405
Slco5a1	Slco5a1	chr1	-	12866549	12993063	0.053971	0.002279	0.005692
Sulf1	Sulf1	chr1	+	12692262	12861192	0.246885	0.028996	0.072412
A830018L16Rik	A830018L16Rik	chr1	+	11413563	11975902	0.254114	0.030570	0.076342
Prex2	Prex2	chr1	+	10993272	11303683	7.897934	0.351305	0.877316
Ncoa2	Ncoa2	chr1	-	13139105	13374083	69.904549	4.642082	11.592699
Tram1	Tram1	chr1	-	13564693	13589910	3426.319336	132.319885	330.443237
Gm5523	Gm5523	chr1	-	13785685	13786929	0.215261	0.008313	0.020760
Eya1	Eya1	chr1	-	14168953	14310267	1.233736	0.055412	0.138381
Kcnb2	Kcnb2	chr1	+	15287157	15723751	0.000000	0.000000	0.000000
Lactb2	Lactb2	chr1	-	13625898	13660605	522.578857	21.224350	53.003700
Xkr9	Xkr9	chr1	+	13668738	13702230	2.118540	0.183397	0.457998
Sbspon	Sbspon	chr1	-	15853862	15892722	4.636463	0.179054	0.447153
Terf1	Terf1	chr1	+	15804982	15844052	142.298538	8.053091	20.111032
Rdh10	Rdh10	chr1	+	16105882	16132550	106.359039	4.107444	10.257545
Rpl7	Rpl7	chr1	-	16101295	16104433	4334.484863	167.392029	418.029114
Stau2	Stau2	chr1	-	16228803	16520182	17.477045	3.382997	8.448379
LOC102634042	LOC102634042	chr1	+	16253587	16263525	1.613390	0.091339	0.228103
Ube2w	Ube2w	chr1	-	16540788	16619415	98.960831	17.581564	43.906548
LOC108167614	LOC108167614	chr1	-	16591021	16596309	1.107055	0.042753	0.106767
Tceb1	Tceb1	chr1	-	16641725	16657119	673.962036	44.604351	111.390724
LOC108167615	LOC108167615	chr1	+	17097969	17100793	0.000000	0.000000	0.000000
