"package","installed","loaded","version","library_path"
"AnnotationDbi",TRUE,TRUE,"1.60.2","/home/avm27/R/x86_64-pc-linux-gnu-library/4.2"
"BiocParallel",TRUE,TRUE,"1.32.6","/home/avm27/R/x86_64-pc-linux-gnu-library/4.2"
"clusterProfiler",TRUE,TRUE,"4.6.2","/home/avm27/R/x86_64-pc-linux-gnu-library/4.2"
"conflicted",TRUE,TRUE,"1.2.0","/home/avm27/R/x86_64-pc-linux-gnu-library/4.2"
"DESeq2",TRUE,TRUE,"1.38.3","/home/avm27/R/x86_64-pc-linux-gnu-library/4.2"
"dplyr",TRUE,TRUE,"1.1.4","/home/avm27/R/x86_64-pc-linux-gnu-library/4.2"
"dynamicTreeCut",TRUE,TRUE,"1.63.1","/home/avm27/R/x86_64-pc-linux-gnu-library/4.2"
"enrichplot",TRUE,TRUE,"1.18.4","/home/avm27/R/x86_64-pc-linux-gnu-library/4.2"
"fastcluster",TRUE,TRUE,"1.3.0","/home/avm27/R/x86_64-pc-linux-gnu-library/4.2"
"ggforce",TRUE,TRUE,"0.4.1","/home/avm27/R/x86_64-pc-linux-gnu-library/4.2"
"ggplot2",TRUE,TRUE,"3.5.1","/home/avm27/R/x86_64-pc-linux-gnu-library/4.2"
"igraph",TRUE,TRUE,"2.0.3","/home/avm27/R/x86_64-pc-linux-gnu-library/4.2"
"knitr",TRUE,TRUE,"1.51","/home/avm27/R/x86_64-pc-linux-gnu-library/4.2"
"limma",TRUE,FALSE,"3.54.2","/home/avm27/R/x86_64-pc-linux-gnu-library/4.2"
"org.Mm.eg.db",TRUE,TRUE,"3.16.0","/home/avm27/R/x86_64-pc-linux-gnu-library/4.2"
"ReactomePA",TRUE,TRUE,"1.42.0","/home/avm27/R/x86_64-pc-linux-gnu-library/4.2"
"readr",TRUE,FALSE,"2.1.4","/home/avm27/R/x86_64-pc-linux-gnu-library/4.2"
"stringr",TRUE,TRUE,"1.5.1","/home/avm27/R/x86_64-pc-linux-gnu-library/4.2"
"SummarizedExperiment",TRUE,TRUE,"1.28.0","/home/avm27/R/x86_64-pc-linux-gnu-library/4.2"
"tibble",TRUE,TRUE,"3.2.1","/home/avm27/R/x86_64-pc-linux-gnu-library/4.2"
"tidyr",TRUE,TRUE,"1.3.1","/home/avm27/R/x86_64-pc-linux-gnu-library/4.2"
"WGCNA",TRUE,TRUE,"1.72.1","/home/avm27/R/x86_64-pc-linux-gnu-library/4.2"
"workflowr",TRUE,FALSE,"1.7.0","/home/avm27/R/x86_64-pc-linux-gnu-library/4.2"
