"package","installed","loaded","version","library_path"
"AnnotationDbi",TRUE,TRUE,"1.60.2","/home/avm27/R/x86_64-pc-linux-gnu-library/4.2"
"biomaRt",TRUE,FALSE,"2.54.1","/home/avm27/R/x86_64-pc-linux-gnu-library/4.2"
"dplyr",TRUE,TRUE,"1.1.4","/home/avm27/R/x86_64-pc-linux-gnu-library/4.2"
"GeneOverlap",TRUE,TRUE,"1.34.0","/home/avm27/R/x86_64-pc-linux-gnu-library/4.2"
"ggplot2",TRUE,TRUE,"3.5.1","/home/avm27/R/x86_64-pc-linux-gnu-library/4.2"
"kableExtra",TRUE,FALSE,"1.3.4","/home/avm27/R/x86_64-pc-linux-gnu-library/4.2"
"knitr",TRUE,TRUE,"1.51","/home/avm27/R/x86_64-pc-linux-gnu-library/4.2"
"org.Mm.eg.db",TRUE,TRUE,"3.16.0","/home/avm27/R/x86_64-pc-linux-gnu-library/4.2"
"stringr",TRUE,TRUE,"1.5.1","/home/avm27/R/x86_64-pc-linux-gnu-library/4.2"
"tidyr",TRUE,FALSE,"1.3.1","/home/avm27/R/x86_64-pc-linux-gnu-library/4.2"
"workflowr",TRUE,FALSE,"1.7.0","/home/avm27/R/x86_64-pc-linux-gnu-library/4.2"
