"package","installed","loaded","version","library_path"
"AnnotationDbi",TRUE,TRUE,"1.60.2","/home/avm27/R/x86_64-pc-linux-gnu-library/4.2"
"clusterProfiler",TRUE,TRUE,"4.6.2","/home/avm27/R/x86_64-pc-linux-gnu-library/4.2"
"ComplexUpset",TRUE,TRUE,"1.3.3","/home/avm27/R/x86_64-pc-linux-gnu-library/4.2"
"conflicted",TRUE,TRUE,"1.2.0","/home/avm27/R/x86_64-pc-linux-gnu-library/4.2"
"DESeq2",TRUE,TRUE,"1.38.3","/home/avm27/R/x86_64-pc-linux-gnu-library/4.2"
"dplyr",TRUE,TRUE,"1.1.4","/home/avm27/R/x86_64-pc-linux-gnu-library/4.2"
"ggplot2",TRUE,TRUE,"3.5.1","/home/avm27/R/x86_64-pc-linux-gnu-library/4.2"
"knitr",TRUE,TRUE,"1.51","/home/avm27/R/x86_64-pc-linux-gnu-library/4.2"
"org.Mm.eg.db",TRUE,TRUE,"3.16.0","/home/avm27/R/x86_64-pc-linux-gnu-library/4.2"
"pheatmap",TRUE,TRUE,"1.0.12","/home/avm27/R/x86_64-pc-linux-gnu-library/4.2"
"RColorBrewer",TRUE,TRUE,"1.1.3","/home/avm27/R/x86_64-pc-linux-gnu-library/4.2"
"rrvgo",TRUE,TRUE,"1.10.0","/home/avm27/R/x86_64-pc-linux-gnu-library/4.2"
"stringr",TRUE,TRUE,"1.5.1","/home/avm27/R/x86_64-pc-linux-gnu-library/4.2"
"SummarizedExperiment",TRUE,TRUE,"1.28.0","/home/avm27/R/x86_64-pc-linux-gnu-library/4.2"
"tibble",TRUE,TRUE,"3.2.1","/home/avm27/R/x86_64-pc-linux-gnu-library/4.2"
"vidger",TRUE,TRUE,"1.18.0","/home/avm27/R/x86_64-pc-linux-gnu-library/4.2"
"workflowr",TRUE,FALSE,"1.7.0","/home/avm27/R/x86_64-pc-linux-gnu-library/4.2"
